,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,target
6627,2.9,1217,-200,11.6,1037,443,669,1167,1452,13.3,38.7,0.5867,138
6628,2.0,1124,-200,9.0,939,292,737,1126,1317,11.2,45.1,0.6004,118
6629,2.5,1152,-200,11.6,1036,372,670,1206,1365,8.8,52.5,0.5969,120
6630,3.0,1216,-200,11.7,1039,443,685,1183,1378,8.6,54.3,0.606,132
6631,2.4,1095,-200,11.3,1024,360,708,1219,1246,8.1,53.2,0.5746,121
6632,2.6,1099,-200,10.4,994,401,715,1164,1186,6.8,57.8,0.5768,117
6633,2.0,974,-200,6.4,832,-200,832,1035,1024,6.6,58.1,0.5687,-200
6634,2.1,1091,-200,9.8,971,273,703,1148,1187,5.4,64.1,0.5772,102
6635,1.7,955,-200,5.8,804,199,843,1017,1007,5.6,61.6,0.5656,95
6636,1.5,975,-200,7.0,859,177,777,1043,1019,4.2,69.0,0.5737,81
6637,1.3,909,-200,4.0,709,206,936,953,921,4.8,64.6,0.563,95
6638,1.9,992,-200,6.9,853,323,821,1052,1038,4.0,69.0,0.5661,111
6639,2.0,1018,-200,7.7,889,392,780,1085,1105,4.9,66.3,0.5786,118
6640,2.7,1100,-200,9.9,974,420,728,1131,1208,9.4,48.7,0.5748,130
6641,2.4,1101,-200,8.9,934,333,751,1085,1208,12.6,39.9,0.5804,116
6642,2.7,1148,-200,11.3,1025,395,701,1165,1282,14.4,35.3,0.5763,128
6643,3.2,1253,-200,13.7,1108,478,633,1253,1494,15.1,37.4,0.6374,156
6644,3.4,1229,-200,12.7,1075,470,638,1226,1500,16.0,35.8,0.6456,169
6645,3.2,1250,-200,14.5,1133,508,629,1274,1463,17.5,30.8,0.6095,168
6646,4.3,1432,-200,18.4,1251,596,547,1396,1722,17.2,34.2,0.6669,178
6647,5.0,1530,-200,22.0,1352,694,491,1550,1934,14.3,45.8,0.7452,178
6648,6.3,1604,-200,25.4,1438,968,466,1650,2018,12.2,53.9,0.7617,188
6649,4.6,1352,-200,16.4,1191,658,570,1362,1796,11.6,51.2,0.6965,169
6650,3.1,1235,-200,12.4,1065,409,640,1213,1594,11.3,50.1,0.672,133
6651,2.6,1127,-200,9.6,962,345,751,1120,1389,10.6,51.2,0.6541,125
6652,2.1,1073,-200,7.1,860,230,896,1058,1238,9.6,51.7,0.6163,110
6653,2.1,1074,-200,7.2,867,285,888,1064,1221,8.7,55.2,0.6225,112
6654,2.5,1133,-200,9.3,951,310,825,1156,1254,7.9,60.2,0.6432,112
6655,2.0,1021,-200,5.9,808,224,961,1048,1098,7.9,59.2,0.6331,102
6656,1.8,995,-200,5.9,807,213,978,1056,1044,6.7,64.6,0.6381,90
6657,1.3,882,-200,2.4,614,-200,1221,931,888,6.9,62.3,0.6227,-200
6658,-200.0,869,-200,2.1,594,103,1326,935,835,6.3,64.6,0.6197,66
6659,0.7,868,-200,1.8,567,91,1238,919,823,6.4,63.3,0.6123,64
6660,0.9,921,-200,3.1,655,178,1001,972,908,6.4,64.4,0.6204,81
6661,1.5,1041,-200,6.8,846,351,829,1112,1076,5.6,68.9,0.6328,106
6662,3.4,1275,-200,16.4,1193,587,596,1389,1393,6.4,65.6,0.6348,140
6663,3.4,1238,-200,16.7,1202,475,748,1382,1429,7.3,61.4,0.6306,138
6664,3.2,1288,-200,17.3,1220,576,937,1391,1594,9.6,53.7,0.6409,165
6665,4.8,1422,-200,22.4,1362,920,775,1509,1956,12.0,45.9,0.6421,214
6666,3.5,1293,-200,17.9,1236,710,784,1370,1872,12.7,44.4,0.6512,178
6667,4.1,1410,-200,22.4,1363,696,690,1515,2014,13.9,42.8,0.6761,187
6668,4.8,1425,-200,23.3,1386,744,691,1536,1978,15.0,41.4,0.7016,203
6669,4.4,1590,-200,28.0,1503,743,575,1559,2257,16.0,38.7,0.6987,204
6670,4.5,1520,-200,30.1,1552,801,568,1615,2104,16.0,38.6,0.6952,198
6671,5.9,1595,-200,33.4,1628,1014,495,1822,2140,14.1,44.9,0.7194,218
6672,9.9,1881,-200,50.8,1983,1479,334,2271,2523,12.6,55.9,0.8142,269
6673,6.9,1633,-200,35.6,1677,1018,400,1880,2188,11.7,60.8,0.8336,217
6674,4.3,1391,-200,21.5,1338,729,509,1514,1816,11.5,60.9,0.8249,183
6675,2.9,1263,-200,15.5,1164,508,581,1338,1587,10.6,64.1,0.8182,147
6676,2.0,1147,-200,10.9,1012,347,665,1214,1381,10.1,66.2,0.8185,120
6677,1.7,1103,-200,8.7,928,327,715,1174,1287,9.0,70.1,0.8036,112
6678,1.9,1071,-200,7.4,873,339,739,1150,1193,8.6,70.5,0.7915,107
6679,2.0,1137,-200,9.9,975,358,687,1234,1223,7.6,74.3,0.7783,103
6680,1.9,1066,-200,8.2,907,377,728,1174,1122,6.9,76.1,0.759,97
6681,1.0,918,-200,3.9,704,-200,920,1032,932,8.0,70.6,0.7607,-200
6682,0.8,895,-200,3.2,663,165,977,1007,866,6.8,75.4,0.7475,74
6683,0.7,885,-200,3.0,655,145,996,1015,848,6.6,75.3,0.7378,68
6684,1.1,964,-200,5.4,784,282,824,1080,959,6.0,77.3,0.7262,92
6685,1.7,1088,-200,8.7,927,494,715,1196,1154,6.0,76.7,0.722,111
6686,3.1,1274,-200,15.4,1160,606,587,1412,1373,6.9,73.7,0.7348,133
6687,4.4,1406,-200,27.2,1483,581,478,1767,1708,7.6,70.6,0.7371,139
6688,5.6,1521,-200,30.7,1568,920,440,1843,2097,9.3,64.2,0.7544,192
6689,4.4,1408,-200,24.3,1412,811,484,1608,2056,11.7,55.7,0.763,192
6690,4.4,1377,-200,21.7,1342,786,499,1546,2006,12.9,54.1,0.8003,206
6691,4.7,1470,-200,25.8,1450,677,481,1706,2015,14.0,53.0,0.8451,182
6692,4.2,1416,-200,21.8,1346,612,609,1570,1945,15.1,50.2,0.8552,192
6693,3.3,1383,-200,20.6,1314,524,785,1538,1793,16.7,47.3,0.8883,188
6694,5.1,1574,-200,27.2,1483,775,460,1778,1962,16.8,48.4,0.9175,186
6695,7.4,-200,-200,-200.0,-200,1159,-200,-200,-200,-200.0,-200.0,-200.0,257
6696,9.3,-200,-200,-200.0,-200,1310,-200,-200,-200,-200.0,-200.0,-200.0,248
6697,7.4,-200,-200,-200.0,-200,1037,-200,-200,-200,-200.0,-200.0,-200.0,208
6698,5.3,-200,-200,-200.0,-200,791,-200,-200,-200,-200.0,-200.0,-200.0,167
6699,4.1,-200,-200,-200.0,-200,670,-200,-200,-200,-200.0,-200.0,-200.0,148
6700,2.5,-200,-200,-200.0,-200,341,-200,-200,-200,-200.0,-200.0,-200.0,112
6701,2.1,-200,-200,-200.0,-200,365,-200,-200,-200,-200.0,-200.0,-200.0,108
6702,2.9,-200,-200,-200.0,-200,510,-200,-200,-200,-200.0,-200.0,-200.0,115
6703,2.3,-200,-200,-200.0,-200,352,-200,-200,-200,-200.0,-200.0,-200.0,96
6704,1.7,-200,-200,-200.0,-200,299,-200,-200,-200,-200.0,-200.0,-200.0,87
6705,0.9,-200,-200,-200.0,-200,-200,-200,-200,-200,-200.0,-200.0,-200.0,-200
6706,0.7,-200,-200,-200.0,-200,103,-200,-200,-200,-200.0,-200.0,-200.0,61
6707,0.8,-200,-200,-200.0,-200,133,-200,-200,-200,-200.0,-200.0,-200.0,61
6708,1.0,-200,-200,-200.0,-200,244,-200,-200,-200,-200.0,-200.0,-200.0,82
6709,1.2,-200,-200,-200.0,-200,222,-200,-200,-200,-200.0,-200.0,-200.0,83
6710,3.5,-200,-200,-200.0,-200,591,-200,-200,-200,-200.0,-200.0,-200.0,116
6711,4.5,-200,-200,-200.0,-200,821,-200,-200,-200,-200.0,-200.0,-200.0,147
6712,4.9,-200,-200,-200.0,-200,803,-200,-200,-200,-200.0,-200.0,-200.0,167
6713,3.5,-200,-200,-200.0,-200,809,-200,-200,-200,-200.0,-200.0,-200.0,176
6714,3.4,-200,-200,-200.0,-200,836,-200,-200,-200,-200.0,-200.0,-200.0,177
6715,4.0,-200,-200,-200.0,-200,820,-200,-200,-200,-200.0,-200.0,-200.0,169
6716,4.3,-200,-200,-200.0,-200,861,-200,-200,-200,-200.0,-200.0,-200.0,181
6717,4.0,-200,-200,-200.0,-200,842,-200,-200,-200,-200.0,-200.0,-200.0,183
6718,4.7,-200,-200,-200.0,-200,933,-200,-200,-200,-200.0,-200.0,-200.0,176
6719,6.6,-200,-200,-200.0,-200,1237,-200,-200,-200,-200.0,-200.0,-200.0,229
6720,7.3,-200,-200,-200.0,-200,1137,-200,-200,-200,-200.0,-200.0,-200.0,214
6721,3.6,-200,-200,-200.0,-200,484,-200,-200,-200,-200.0,-200.0,-200.0,137
6722,2.4,-200,-200,-200.0,-200,325,-200,-200,-200,-200.0,-200.0,-200.0,115
6723,2.1,-200,-200,-200.0,-200,292,-200,-200,-200,-200.0,-200.0,-200.0,107
6724,2.1,-200,-200,-200.0,-200,303,-200,-200,-200,-200.0,-200.0,-200.0,105
6725,1.7,-200,-200,-200.0,-200,242,-200,-200,-200,-200.0,-200.0,-200.0,96
6726,2.2,-200,-200,-200.0,-200,314,-200,-200,-200,-200.0,-200.0,-200.0,100
6727,2.0,-200,-200,-200.0,-200,289,-200,-200,-200,-200.0,-200.0,-200.0,100
6728,1.6,-200,-200,-200.0,-200,224,-200,-200,-200,-200.0,-200.0,-200.0,92
6729,1.7,-200,-200,-200.0,-200,-200,-200,-200,-200,-200.0,-200.0,-200.0,-200
6730,-200.0,-200,-200,-200.0,-200,191,-200,-200,-200,-200.0,-200.0,-200.0,81
6731,1.0,-200,-200,-200.0,-200,149,-200,-200,-200,-200.0,-200.0,-200.0,74
6732,1.0,-200,-200,-200.0,-200,212,-200,-200,-200,-200.0,-200.0,-200.0,81
6733,1.6,-200,-200,-200.0,-200,398,-200,-200,-200,-200.0,-200.0,-200.0,99
6734,3.5,-200,-200,-200.0,-200,763,-200,-200,-200,-200.0,-200.0,-200.0,123
6735,5.3,-200,-200,-200.0,-200,905,-200,-200,-200,-200.0,-200.0,-200.0,146
6736,4.6,-200,-200,-200.0,-200,849,-200,-200,-200,-200.0,-200.0,-200.0,161
6737,4.5,-200,-200,-200.0,-200,1015,-200,-200,-200,-200.0,-200.0,-200.0,210
6738,4.2,-200,-200,-200.0,-200,845,-200,-200,-200,-200.0,-200.0,-200.0,190
6739,4.1,-200,-200,-200.0,-200,740,-200,-200,-200,-200.0,-200.0,-200.0,170
6740,5.5,-200,-200,-200.0,-200,1018,-200,-200,-200,-200.0,-200.0,-200.0,212
6741,4.8,-200,-200,-200.0,-200,1058,-200,-200,-200,-200.0,-200.0,-200.0,217
6742,5.5,-200,-200,-200.0,-200,1182,-200,-200,-200,-200.0,-200.0,-200.0,236
6743,5.2,-200,-200,-200.0,-200,1089,-200,-200,-200,-200.0,-200.0,-200.0,217
6744,7.5,-200,-200,-200.0,-200,1186,-200,-200,-200,-200.0,-200.0,-200.0,231
6745,8.6,-200,-200,-200.0,-200,1235,-200,-200,-200,-200.0,-200.0,-200.0,227
6746,9.1,-200,-200,-200.0,-200,1253,-200,-200,-200,-200.0,-200.0,-200.0,219
6747,8.6,-200,-200,-200.0,-200,1237,-200,-200,-200,-200.0,-200.0,-200.0,203
6748,5.4,-200,-200,-200.0,-200,1060,-200,-200,-200,-200.0,-200.0,-200.0,186
6749,4.3,-200,-200,-200.0,-200,873,-200,-200,-200,-200.0,-200.0,-200.0,173
6750,4.2,-200,-200,-200.0,-200,807,-200,-200,-200,-200.0,-200.0,-200.0,162
6751,4.3,-200,-200,-200.0,-200,798,-200,-200,-200,-200.0,-200.0,-200.0,161
6752,4.2,-200,-200,-200.0,-200,691,-200,-200,-200,-200.0,-200.0,-200.0,144
6753,2.8,-200,-200,-200.0,-200,-200,-200,-200,-200,-200.0,-200.0,-200.0,-200
6754,2.2,-200,-200,-200.0,-200,433,-200,-200,-200,-200.0,-200.0,-200.0,119
6755,1.8,-200,-200,-200.0,-200,371,-200,-200,-200,-200.0,-200.0,-200.0,112
6756,2.0,-200,-200,-200.0,-200,469,-200,-200,-200,-200.0,-200.0,-200.0,111
6757,2.5,-200,-200,-200.0,-200,658,-200,-200,-200,-200.0,-200.0,-200.0,122
6758,4.1,-200,-200,-200.0,-200,854,-200,-200,-200,-200.0,-200.0,-200.0,137
6759,6.3,-200,-200,-200.0,-200,1005,-200,-200,-200,-200.0,-200.0,-200.0,151
6760,5.0,-200,-200,-200.0,-200,937,-200,-200,-200,-200.0,-200.0,-200.0,164
6761,5.1,-200,-200,-200.0,-200,963,-200,-200,-200,-200.0,-200.0,-200.0,198
6762,3.6,-200,-200,-200.0,-200,635,-200,-200,-200,-200.0,-200.0,-200.0,213
6763,3.5,-200,-200,-200.0,-200,521,-200,-200,-200,-200.0,-200.0,-200.0,164
6764,3.7,-200,-200,-200.0,-200,613,-200,-200,-200,-200.0,-200.0,-200.0,177
6765,3.1,-200,-200,-200.0,-200,516,-200,-200,-200,-200.0,-200.0,-200.0,168
6766,3.2,-200,-200,-200.0,-200,446,-200,-200,-200,-200.0,-200.0,-200.0,150
6767,3.8,-200,-200,-200.0,-200,499,-200,-200,-200,-200.0,-200.0,-200.0,152
6768,3.2,-200,-200,-200.0,-200,407,-200,-200,-200,-200.0,-200.0,-200.0,138
6769,3.2,-200,-200,-200.0,-200,418,-200,-200,-200,-200.0,-200.0,-200.0,129
6770,3.3,1325,-200,16.4,1191,403,564,1542,1389,13.3,68.0,1.0376,130
6771,3.1,1316,-200,13.4,1099,412,610,1451,1268,13.2,72.8,1.0984,137
6772,2.4,1170,-200,8.2,906,322,707,1317,1046,12.6,76.5,1.1106,125
6773,1.4,1061,-200,5.7,800,200,819,1232,862,12.6,74.3,1.0843,106
6774,2.1,1109,-200,7.0,855,244,787,1220,866,12.9,72.1,1.0658,121
6775,1.4,1025,-200,5.6,794,199,848,1202,788,13.1,70.5,1.0594,101
6776,1.4,1086,-200,5.1,769,190,822,1196,857,12.4,73.8,1.0574,100
6777,1.3,1058,-200,4.3,727,-200,834,1193,860,12.2,74.5,1.0537,-200
6778,1.0,1034,-200,4.2,719,153,858,1189,845,11.8,76.3,1.0547,86
6779,1.3,1065,-200,6.1,816,215,777,1245,873,10.8,80.0,1.0367,90
6780,1.0,988,-200,5.2,774,206,842,1189,841,10.4,77.3,0.9709,89
6781,1.1,986,-200,5.4,785,225,842,1173,853,10.0,76.2,0.9332,96
6782,2.1,1136,-200,11.0,1015,416,702,1287,1063,9.4,67.7,0.8018,125
6783,3.2,1256,-200,16.1,1184,613,582,1448,1276,9.3,71.2,0.8325,143
6784,3.3,1228,-200,15.7,1170,567,596,1375,1332,12.6,54.0,0.784,153
6785,2.3,956,-200,8.8,931,409,799,1046,1015,16.1,28.5,0.5164,140
6786,1.0,781,-200,3.9,704,183,1062,842,594,16.6,19.9,0.3728,92
6787,0.8,759,-200,3.8,699,140,1223,799,501,15.9,18.2,0.3255,78
6788,0.8,722,-200,3.3,671,133,1596,737,448,14.3,18.4,0.2991,68
6789,0.6,699,-200,2.4,613,115,1731,682,387,15.0,16.3,0.2749,64
6790,0.9,755,-200,3.6,690,157,1653,750,467,14.9,17.1,0.2875,80
6791,0.8,746,-200,3.5,684,149,1301,764,484,13.2,18.8,0.2837,81
6792,1.2,784,-200,4.6,744,219,1080,802,608,12.4,19.6,0.2797,102
6793,2.1,931,-200,9.9,972,424,868,974,953,11.9,21.3,0.2957,132
6794,3.9,1112,-200,19.0,1267,659,671,1250,1307,11.1,24.8,0.3264,162
6795,4.4,1133,-200,17.2,1215,727,674,1196,1415,10.1,29.7,0.3666,179
6796,2.0,886,-200,8.4,917,398,908,901,1023,10.2,23.8,0.2955,148
6797,2.3,993,-200,11.4,1030,414,805,1005,1154,9.4,27.4,0.3239,146
6798,3.6,1215,-200,15.6,1167,600,664,1181,1426,7.9,39.0,0.4154,164
6799,3.9,1160,-200,13.0,1083,596,706,1114,1363,7.6,40.6,0.4273,162
6800,1.6,928,-200,6.2,819,225,919,923,1006,6.4,43.7,0.4242,118
6801,1.0,879,-200,4.2,722,-200,1014,878,873,6.3,44.7,0.4293,-200
6802,-200.0,833,-200,2.7,632,120,1107,834,760,5.1,46.5,0.4125,78
6803,1.0,840,-200,3.0,649,126,1044,869,799,3.3,53.5,0.418,79
6804,0.8,848,-200,2.4,612,83,1169,852,703,4.8,49.9,0.4325,62
6805,0.7,828,-200,3.1,660,156,1078,881,781,2.2,60.1,0.4361,85
6806,1.0,847,-200,3.8,698,240,1034,905,815,2.5,59.3,0.4401,110
6807,1.0,868,-200,3.2,665,186,1067,865,800,3.2,55.7,0.4344,99
6808,1.5,970,-200,6.2,819,224,923,959,926,5.0,48.8,0.429,101
6809,2.5,1077,-200,9.6,963,386,761,1081,1151,5.8,49.8,0.4613,129
6810,2.6,1058,-200,9.6,962,397,778,1058,1153,6.0,47.6,0.4488,132
6811,3.2,1136,-200,12.5,1067,477,702,1143,1298,7.4,44.6,0.4613,148
6812,3.0,1228,-200,12.5,1068,405,658,1264,1238,5.2,73.1,0.6535,134
6813,3.4,1235,-200,14.0,1118,453,612,1354,1222,4.8,81.4,0.7055,148
6814,3.3,1217,-200,11.6,1036,459,661,1260,1171,4.7,82.3,0.7105,146
6815,3.6,1298,-200,13.0,1082,452,642,1287,1237,4.7,82.8,0.7157,148
6816,5.5,1327,-200,17.3,1219,579,582,1453,1366,4.7,83.4,0.7177,175
6817,4.5,1293,-200,14.6,1136,542,631,1365,1278,5.2,83.1,0.7411,170
6818,4.7,1353,-200,16.2,1187,601,599,1424,1293,5.5,84.1,0.7657,173
6819,4.3,1254,-200,13.8,1111,521,630,1360,1198,5.8,84.5,0.7822,151
6820,3.2,1189,-200,10.6,999,411,680,1286,1115,6.2,84.1,0.8018,129
6821,2.9,1183,-200,9.1,944,382,731,1226,1092,6.6,83.3,0.8183,126
6822,3.1,1185,-200,9.7,966,421,711,1250,1104,6.8,82.8,0.8216,127
6823,2.8,1098,-200,7.0,859,362,792,1211,1006,8.2,78.4,0.8561,118
6824,1.2,938,-200,2.8,639,104,1020,1059,777,9.7,70.9,0.8539,83
6825,0.9,883,-200,2.0,583,-200,1116,1019,710,9.5,69.9,0.8298,-200
6826,0.8,839,-200,1.4,536,69,1229,970,600,9.3,65.9,0.7757,60
6827,0.6,784,-200,0.8,479,41,1365,905,477,8.8,62.9,0.7154,37
6828,0.6,779,-200,0.7,466,46,1393,881,454,8.6,58.8,0.6603,39
6829,1.0,883,-200,2.6,625,118,1069,997,630,9.2,55.9,0.6521,70
6830,3.2,970,-200,5.3,776,295,873,1059,858,8.4,57.7,0.6376,108
6831,3.6,1012,-200,7.1,861,311,785,1133,951,8.5,60.4,0.6713,119
6832,2.9,934,-200,5.0,766,269,878,1047,836,8.9,57.4,0.6575,111
6833,2.4,888,-200,3.8,700,225,956,999,721,9.2,55.8,0.6479,106
6834,2.5,918,-200,4.5,737,220,1007,1030,703,9.6,53.9,0.6425,105
6835,2.6,901,-200,4.7,747,216,1001,1020,657,9.6,52.4,0.6276,114
6836,2.3,857,-200,3.9,708,162,972,983,581,9.7,49.8,0.5998,93
6837,2.2,838,-200,3.8,699,152,1015,944,546,9.4,44.9,0.5296,89
6838,2.3,869,-200,5.2,772,183,1051,966,641,9.8,41.9,0.5083,102
6839,2.9,928,-200,6.8,850,254,1118,1004,794,8.9,44.9,0.5125,129
6840,4.1,1037,-200,11.9,1047,355,869,1159,1042,8.4,45.4,0.5035,151
6841,4.1,980,-200,10.8,1008,341,758,1103,993,8.0,41.0,0.4416,151
6842,4.0,978,-200,11.5,1031,341,765,1066,968,7.9,37.1,0.3974,149
6843,3.7,891,-200,7.6,882,342,885,950,894,7.8,33.9,0.3594,149
6844,1.7,762,-200,3.1,657,186,1158,783,592,7.3,32.4,0.334,114
6845,1.1,794,-200,3.6,687,170,1100,826,611,7.4,34.6,0.3576,104
6846,1.1,799,-200,3.6,690,169,1125,823,611,7.1,33.7,0.3417,104
6847,1.5,818,-200,4.3,725,246,1065,849,694,6.4,35.8,0.3471,127
6848,0.5,691,-200,0.7,471,63,1552,698,357,5.6,37.7,0.3444,53
6849,0.3,697,-200,0.6,455,-200,1726,698,318,5.6,37.6,0.3448,-200
6850,0.2,697,-200,0.5,437,44,1705,702,325,5.3,38.8,0.3473,39
6851,0.3,716,-200,0.7,473,54,1595,734,343,4.7,41.4,0.3576,41
6852,0.6,791,-200,2.2,598,176,1186,802,608,4.3,43.9,0.3675,97
6853,0.7,804,-200,2.6,630,236,1188,806,712,4.9,40.6,0.3539,120
6854,2.6,1093,-200,13.4,1098,613,782,1221,1173,5.1,40.8,0.3603,167
6855,5.5,1179,-200,23.5,1390,755,567,1453,1459,6.5,38.1,0.3709,198
6856,2.6,951,-200,9.4,953,460,812,1022,1055,7.4,36.5,0.3778,157
6857,1.5,882,-200,6.3,826,280,952,910,799,7.9,36.4,0.3889,125
6858,1.7,897,-200,6.7,845,322,942,943,787,7.8,36.8,0.3908,135
6859,2.2,949,-200,9.7,965,349,860,1041,892,8.7,33.7,0.379,138
6860,2.1,896,-200,7.8,891,297,921,935,766,8.5,34.3,0.3813,132
6861,2.2,908,-200,7.7,886,353,922,947,835,8.9,34.5,0.3946,142
6862,2.3,959,-200,8.6,924,316,899,993,897,8.8,35.7,0.4043,137
6863,2.5,994,-200,10.7,1005,348,832,1054,1009,7.9,38.6,0.4137,145
6864,3.1,1081,-200,16.7,1202,445,691,1230,1250,7.6,40.1,0.4195,166
6865,3.6,1081,-200,15.5,1164,457,705,1171,1283,6.9,40.3,0.4025,165
6866,3.9,1175,-200,18.3,1248,516,661,1308,1377,6.5,41.7,0.4047,175
6867,4.0,1123,-200,13.8,1110,575,732,1152,1322,6.3,42.6,0.4106,185
6868,2.3,1032,-200,9.3,952,449,833,1025,1198,5.9,44.7,0.4186,166
6869,1.5,927,-200,5.8,805,289,965,918,1007,5.8,43.4,0.4037,140
6870,1.5,952,-200,6.6,838,268,948,937,976,5.8,42.5,0.3937,133
6871,2.2,987,-200,7.6,883,343,913,949,1013,5.6,42.0,0.3856,144
6872,1.3,902,-200,5.0,761,222,1048,872,868,5.3,42.3,0.3806,126
6873,0.9,833,-200,2.9,648,-200,1135,814,760,5.1,43.5,0.3852,-200
6874,-200.0,776,-200,1.3,525,87,1391,770,585,5.1,44.8,0.3967,72
6875,0.5,812,-200,1.5,541,89,1309,774,616,5.2,45.9,0.4099,70
6876,0.5,821,-200,1.7,563,103,1270,807,678,4.7,49.0,0.4209,74
6877,0.9,932,-200,3.8,701,254,944,875,936,4.5,51.8,0.4418,124
6878,2.0,1069,-200,8.8,931,481,782,1054,1110,4.5,53.0,0.4495,152
6879,3.2,1137,-200,12.5,1066,638,681,1151,1258,4.8,53.1,0.4605,174
6880,2.3,1009,-200,8.7,926,492,791,1015,1080,7.8,42.0,0.4464,161
6881,1.8,962,-200,7.5,877,413,841,969,949,9.3,37.6,0.4391,120
6882,2.1,972,-200,8.2,909,364,827,1012,894,10.0,34.2,0.4212,111
6883,1.9,968,-200,8.5,920,299,831,991,882,10.3,32.6,0.4094,128
6884,2.4,939,-200,8.1,902,342,884,969,872,9.8,31.8,0.3858,133
6885,2.1,901,-200,6.7,843,309,1061,907,751,9.8,30.3,0.3658,121
6886,2.8,975,-200,9.0,938,367,874,989,928,9.6,29.6,0.3545,147
6887,3.3,1028,-200,11.3,1025,357,774,1024,1160,8.1,32.5,0.3516,136
6888,2.9,998,-200,9.9,972,345,806,984,1090,6.8,36.1,0.3575,153
6889,3.9,1094,-200,13.6,1105,483,708,1086,1274,6.4,36.5,0.3519,178
6890,4.1,1128,-200,15.4,1161,480,672,1163,1340,5.9,37.8,0.3528,174
6891,3.3,1111,-200,11.4,1030,427,751,1033,1271,5.1,40.7,0.3621,166
6892,3.3,1121,-200,11.2,1023,504,725,1053,1354,4.8,45.1,0.3925,169
6893,1.9,956,-200,5.7,796,248,915,861,1084,4.5,43.9,0.3728,132
6894,2.0,973,-200,5.4,785,241,916,883,1086,5.2,44.1,0.3939,127
6895,1.9,952,-200,5.5,790,210,921,896,1038,4.3,46.4,0.3896,113
6896,2.1,969,-200,5.2,773,292,889,914,1064,3.0,52.5,0.4021,128
6897,1.7,919,-200,3.7,693,-200,955,882,979,2.3,56.3,0.4134,-200
6898,1.3,874,-200,3.1,657,129,985,867,930,1.5,61.4,0.4235,85
6899,1.1,806,-200,1.6,554,106,1206,807,783,4.0,50.4,0.4154,77
6900,1.2,874,-200,2.5,623,125,1096,847,831,2.8,55.2,0.4177,78
6901,1.8,961,-200,5.3,779,267,917,960,983,1.2,61.4,0.4159,115
6902,3.6,1195,-200,13.4,1096,543,668,1166,1315,1.4,61.3,0.4208,169
6903,3.7,1184,-200,15.0,1148,496,651,1178,1389,2.2,58.1,0.4218,174
6904,3.4,1135,-200,12.8,1076,491,685,1120,1396,4.3,49.4,0.4138,171
6905,4.0,1211,-200,15.9,1177,667,620,1221,1585,6.6,42.5,0.416,179
6906,3.8,1228,-200,15.9,1178,693,621,1202,1628,8.0,38.3,0.4133,193
6907,4.1,1247,-200,16.3,1188,707,598,1237,1692,9.1,36.1,0.4172,210
6908,4.9,1336,-200,18.6,1256,777,567,1320,1828,10.0,34.7,0.4259,224
6909,3.3,1205,-200,12.8,1079,512,652,1168,1476,11.0,33.0,0.4331,175
6910,4.3,1305,-200,17.9,1238,587,565,1325,1640,11.3,33.6,0.4504,177
6911,6.6,1568,-200,29.0,1528,864,455,1661,2046,9.4,41.3,0.4888,208
6912,8.5,1630,-200,33.1,1622,1089,421,1757,2238,8.0,45.9,0.4936,247
6913,8.7,1704,-200,36.1,1689,1070,402,1820,2480,7.1,50.3,0.51,242
6914,9.1,1701,-200,36.3,1692,1220,402,1832,2415,6.2,56.9,0.5419,252
6915,7.2,1564,-200,26.3,1462,1076,472,1574,2181,6.3,57.9,0.5575,228
6916,5.0,1441,-200,20.6,1314,825,517,1389,2051,6.2,56.8,0.5421,196
6917,4.2,1376,-200,17.0,1209,740,549,1283,2041,6.1,54.7,0.5201,190
6918,4.6,1412,-200,17.2,1216,759,543,1300,2059,6.0,55.6,0.5244,187
6919,3.9,1352,-200,14.6,1137,610,567,1234,2016,5.1,59.0,0.5248,174
6920,3.4,1285,-200,12.1,1052,465,605,1164,1967,5.1,58.4,0.517,158
6921,3.0,1263,-200,10.5,997,-200,625,1140,1960,4.7,60.8,0.5232,-200
6922,2.4,1200,-200,8.7,929,288,664,1082,1847,4.2,63.1,0.5259,132
6923,2.5,1187,-200,8.8,931,251,669,1093,1792,4.3,64.1,0.537,121
6924,3.5,1166,-200,8.2,909,351,691,1079,1680,4.8,61.9,0.537,136
6925,3.9,1209,-200,9.5,958,379,666,1124,1662,5.3,61.1,0.5499,138
6926,4.8,1349,-200,14.6,1136,539,575,1299,1810,5.7,61.3,0.5657,149
6927,6.1,1458,-200,20.4,1307,706,497,1483,2103,6.1,60.5,0.5719,165
6928,6.6,1462,-200,18.8,1263,750,510,1421,2082,6.7,59.7,0.589,170
6929,6.5,1448,-200,18.8,1263,747,511,1428,1971,7.2,58.6,0.5986,165
6930,6.0,1419,-200,18.5,1254,670,524,1406,1950,8.0,55.9,0.6018,167
6931,6.9,1561,-200,24.8,1425,772,465,1624,2101,9.8,52.4,0.6349,197
6932,7.9,1558,-200,22.9,1375,792,471,1563,2112,10.5,51.1,0.6503,217
6933,6.1,1438,-200,16.9,1208,626,528,1405,1962,10.8,52.4,0.6767,204
6934,6.7,1532,-200,22.2,1356,678,474,1610,2033,10.6,55.3,0.7058,193
6935,6.8,1522,-200,21.5,1337,706,479,1578,2034,10.4,57.0,0.7167,192
